model,step,value,is_extrapolated
naive,0,0.465426673,False
naive,1,0.447928949,False
naive,2,0.429029247,False
naive,3,0.408988015,False
naive,4,0.388033478,False
naive,5,0.366281641,False
naive,6,0.343798706,False
naive,7,0.320629708,False
naive,8,0.296820426,False
naive,9,0.27242371,False
naive,10,0.247496865,False
naive,11,0.222096462,False
naive,12,0.196274999,False
naive,13,0.170079805,False
naive,14,0.143553321,False
naive,15,0.116734265,False
naive,16,0.089659362,False
naive,17,0.062365008,False
naive,18,0.034887985,False
naive,19,0.007265815,False
naive,20,-0.020462642,False
naive,21,-0.048256584,False
naive,22,-0.076072651,False
naive,23,-0.1038644,False
naive,24,-0.131582932,False
naive,25,-0.131582932,True
naive,26,-0.131582932,True
naive,27,-0.131582932,True
naive,28,-0.131582932,True
naive,29,-0.131582932,True
naive,30,-0.131582932,True
naive,31,-0.131582932,True
naive,32,-0.131582932,True
naive,33,-0.131582932,True
naive,34,-0.131582932,True
scnode,0,0.536645633,False
scnode,1,0.524056291,False
scnode,2,0.510633319,False
scnode,3,0.496483482,False
scnode,4,0.481510943,False
scnode,5,0.465426673,False
scnode,6,0.447928949,False
scnode,7,0.429029247,False
scnode,8,0.408988015,False
scnode,9,0.388033478,False
scnode,10,0.366281641,False
scnode,11,0.343798706,False
scnode,12,0.320629708,False
scnode,13,0.296820426,False
scnode,14,0.27242371,False
scnode,15,0.247496865,False
scnode,16,0.222096462,False
scnode,17,0.196274999,False
scnode,18,0.170079805,False
scnode,19,0.143553321,False
scnode,20,0.116734265,False
scnode,21,0.089659362,False
scnode,22,0.062365008,False
scnode,23,0.034887985,False
scnode,24,0.007265815,False
scnode,25,-0.020462642,False
scnode,26,-0.048256584,False
scnode,27,-0.076072651,False
scnode,28,-0.1038644,False
scnode,29,-0.131582932,False
scnode,30,-0.11815345287322998,True
scnode,31,-0.10664835572242737,True
scnode,32,-0.09679552167654037,True
scnode,33,-0.08836010098457336,True
scnode,34,-0.08113989233970642,True
scnode,35,-0.074960857629776,True
scnode,36,-0.06967375427484512,True
scnode,37,-0.06515028327703476,True
scnode,38,-0.061280541121959686,True
scnode,39,-0.05797028914093971,True
