column,model,forecast_type,mae,mape,seed_size,forecast_length
1,naive,recursive,0.07477119226788687,48.98312942871431,25,601
1,arima_v3,recursive,0.07336440175000006,49.15482265441717,30,596
2,naive,recursive,0.24190635598169719,65.01302355983634,25,601
2,arima_v3,recursive,0.2587736250864243,70.45358740335695,30,596
3,naive,recursive,0.12073846871214641,3459.7239812345247,25,601
3,arima_v3,recursive,0.16254543300541013,11734.08980557544,30,596
4,naive,recursive,0.8436445631430949,82.0999483806501,25,601
4,arima_v3,recursive,0.8605792928072303,84.41053722940384,30,596
5,naive,recursive,0.0881368942795341,313.8802358996327,25,601
5,arima_v3,recursive,0.08891791137803245,315.44497618261556,30,596
6,naive,recursive,0.29848526919633944,66.57570473746489,25,601
6,arima_v3,recursive,0.2963153372235738,65.96614355519144,30,596
7,naive,recursive,0.24389395295008318,105.42802547677047,25,601
7,arima_v3,recursive,0.24516168779667602,95.8430474144093,30,596
8,naive,recursive,0.2045489184925125,82.06808260099746,25,601
8,arima_v3,recursive,27201.459919985497,8737266.31594747,30,596
9,naive,recursive,0.15815187268219633,1082.4602433856776,25,601
9,arima_v3,recursive,5.395843650628772e+22,3.8628892743200646e+25,30,596
10,naive,recursive,0.17856303420798667,257.37669849674415,25,601
10,arima_v3,recursive,0.18071776186870794,262.1582838970612,30,596
11,naive,recursive,0.21369584906322792,62.89974735220529,25,601
11,arima_v3,recursive,0.2191461593826014,64.2644015159247,30,596
12,naive,recursive,0.2792847697404327,285.01050668264736,25,601
12,arima_v3,recursive,0.28087749938213086,279.45873893483594,30,596
13,naive,recursive,0.08220086729284526,536.359253487294,25,601
13,arima_v3,recursive,2578579.805696676,13582726882.871199,30,596
14,naive,recursive,0.17037796844093178,145.5418930057782,25,601
14,arima_v3,recursive,0.2344755728565485,285.5555758692462,30,596
15,naive,recursive,0.10233782848086523,130.81189487170383,25,601
15,arima_v3,recursive,0.10939640471828878,118.31987109422755,30,596
16,naive,recursive,0.37223974267054905,83.13432131175561,25,601
16,arima_v3,recursive,0.3114422546453255,82.49096236911217,30,596
17,naive,recursive,0.11982651789018305,1013.4957373579526,25,601
17,arima_v3,recursive,0.11653945851216439,964.6949755043786,30,596
18,naive,recursive,0.1844611515890183,1546.2238165238505,25,601
18,arima_v3,recursive,0.3358531903723692,4709.512795471464,30,596
19,naive,recursive,0.25607020262396013,103.70836958483889,25,601
19,arima_v3,recursive,1210626282.9833167,1215175182657.456,30,596
20,naive,recursive,0.05957249093344426,674.3145938439873,25,601
20,arima_v3,recursive,0.05724919918624154,647.6240251283883,30,596
21,naive,recursive,0.45480734109317805,106.366078905731,25,601
21,arima_v3,recursive,0.4638609335444631,100.36415285974455,30,596
22,naive,recursive,0.14575781476206323,89.14880388960142,25,601
22,arima_v3,recursive,0.1432483456166107,89.88797380698198,30,596
23,naive,recursive,0.07426004917803661,197.061154395684,25,601
23,arima_v3,recursive,0.07503950162802513,203.5460488473645,30,596
24,naive,recursive,0.5347170006722128,141.38373553605558,25,601
24,arima_v3,recursive,0.5740129008758947,187.8707415276926,30,596
25,naive,recursive,0.2754340016389351,556.3995464675791,25,601
25,arima_v3,recursive,18099882215.691322,2365378555583.3545,30,596
26,naive,recursive,0.053794821232945086,61.59925546937606,25,601
26,arima_v3,recursive,0.2662934235702698,531.8847462264102,30,596
27,naive,recursive,0.7345964962678869,324.96715543335694,25,601
27,arima_v3,recursive,0.7448239716929529,332.8076224134422,30,596
28,naive,recursive,0.041990323196339434,146.8467151347002,25,601
28,arima_v3,recursive,0.09135750059087987,818.5708857105836,30,596
29,naive,recursive,0.2724071952612313,873.0348531502127,25,601
29,arima_v3,recursive,0.29464091994929176,1049.2975894546917,30,596
30,naive,recursive,0.07104164512978368,406.033115051268,25,601
30,arima_v3,recursive,1173290218924745.2,2.4072024913822075e+18,30,596
31,naive,recursive,0.17035312642595676,354.04360691659514,25,601
31,arima_v3,recursive,0.1640123701042273,329.971179692861,30,596
32,naive,recursive,0.20100928147587355,338.1253105882713,25,601
32,arima_v3,recursive,0.20367541089265948,304.1466654221234,30,596
33,naive,recursive,0.293776964249584,528.2886619168501,25,601
33,arima_v3,recursive,44462248.604073755,24877560413.659252,30,596
34,naive,recursive,0.899940507642263,111.65951934122062,25,601
34,arima_v3,recursive,4.814867164113207e+25,7.833883552323242e+27,30,596
35,naive,recursive,0.12736459611647255,126.24066659703502,25,601
35,arima_v3,recursive,0.06746858845845993,62.98980461221658,30,596
36,naive,recursive,0.19364123263394345,117.73889770760569,25,601
36,arima_v3,recursive,132.6969604809434,496874.9643482215,30,596
37,naive,recursive,1.1318909890565725,305.7547579810785,25,601
37,arima_v3,recursive,2.0182850767233984e+17,2.1390633853142872e+19,30,596
38,naive,recursive,0.10430414626289518,25019.298425663463,25,601
38,arima_v3,recursive,4048699.061027155,37804849132.82158,30,596
39,naive,recursive,0.18727095990183026,1178.6965306405236,25,601
39,arima_v3,recursive,0.22937172304556572,1940.7635469942802,30,596
40,naive,recursive,0.09553772186688853,135.76335287014356,25,601
40,arima_v3,recursive,0.09967929924748528,122.01621012705729,30,596
2,naive,extrapolation,,,25,5
2,arima_v3,extrapolation,,,30,5
