step,forecasted,start_point,actual
0,0.47434971342993326,500,0.474381392
1,0.470273305959879,500,0.470423246
2,0.46618947791740895,500,0.466601956
3,0.4661893997870165,500,0.463008852
4,0.4670641704042254,500,0.45975594
5,0.47029159428434814,500,0.457007538
6,0.4718816688173474,500,0.454986208
7,0.4736054488266546,500,0.453813853
8,0.4749652061641131,500,0.453427541
9,0.4762520854310835,500,0.453660225
10,0.47737929728918943,500,0.4544237
11,0.47824359317103077,500,0.455715572
12,0.4790347927572005,500,0.457645184
13,0.4797436647570336,500,0.460377862
14,0.4803857933755458,500,0.463998914
15,0.480960913909964,500,0.468397844
16,0.4814834294539694,500,0.473368681
17,0.48195576991252237,500,0.478753928
18,0.48238148693937305,500,0.484458491
19,0.48276699244243704,500,0.490404417
20,0.4831144587162194,500,0.49651794
21,0.483426646091929,500,0.502724372
22,0.48370680075671674,500,0.508951784
23,0.48395718155132494,500,0.51513465
24,0.4841802258081284,500,0.52121547
25,0.4843780657127386,500,0.527144658
26,0.4845529680703813,500,0.532879557
27,0.4847071146806139,500,0.538383211
28,0.4848423503909986,500,0.543622836
29,0.48496054552952866,500,0.548567839
30,0.48506356622808017,500,0.553187944
31,0.4851529573513592,500,0.557452698
32,0.48523009941755796,500,0.56133444
33,0.4852964047132557,500,0.564813232
34,0.4853531158109671,500,0.567879328
35,0.4854012128512359,500,0.570532611
36,0.48544163251262756,500,0.572780543
37,0.48547533134385723,500,0.574637216
38,0.485503089709416,500,0.576125099
39,0.4855255206139304,500,0.57727829
40,0.4855432256742418,500,0.578144558
41,0.4855569023953958,500,0.578783656
42,0.48556717975257296,500,0.57926188
43,0.4855745066668953,500,0.579646706
44,0.4855792631235967,500,0.580005341
45,0.4855821687059159,500,0.580402478
46,0.4855832436284217,500,0.580895793
47,0.48558336773262717,500,0.581530814
48,0.48550438573579724,500,0.582337685
49,0.4854677855030053,500,0.583331297
