step,forecasted,start_point,actual
0,0.47534806,500,0.474381392
1,0.47236106,500,0.470423246
2,0.46947256,500,0.466601956
3,0.46675193,500,0.463008852
4,0.46417415,500,0.45975594
5,0.461765,500,0.457007538
6,0.45964375,500,0.454986208
7,0.45799923,500,0.453813853
8,0.45701838,500,0.453427541
9,0.45658228,500,0.453660225
10,0.45667177,500,0.4544237
11,0.45741326,500,0.455715572
12,0.45908618,500,0.457645184
13,0.4619103,500,0.460377862
14,0.46606213,500,0.463998914
15,0.47143924,500,0.468397844
16,0.47801262,500,0.473368681
17,0.48562032,500,0.478753928
18,0.49445933,500,0.484458491
19,0.50481796,500,0.490404417
20,0.51715153,500,0.49651794
21,0.53166735,500,0.502724372
22,0.5484352,500,0.508951784
23,0.5674846,500,0.51513465
24,0.588898,500,0.52121547
25,0.61303097,500,0.527144658
26,0.6398119,500,0.532879557
27,0.6691679,500,0.538383211
28,0.7008998,500,0.543622836
29,0.7347309,500,0.548567839
30,0.77033067,500,0.553187944
31,0.80723727,500,0.557452698
32,0.84484476,500,0.56133444
33,0.8824172,500,0.564813232
34,0.9196912,500,0.567879328
35,0.95634276,500,0.570532611
36,0.9920814,500,0.572780543
37,1.0269485,500,0.574637216
38,1.0610669,500,0.576125099
39,1.0942034,500,0.57727829
40,1.1261098,500,0.578144558
41,1.1570251,500,0.578783656
42,1.1863971,500,0.57926188
43,1.2139589,500,0.579646706
44,1.2403011,500,0.580005341
45,1.2648027,500,0.580402478
46,1.2855392,500,0.580895793
47,1.3010051,500,0.581530814
48,1.3094766,500,0.582337685
49,1.3091879,500,0.583331297
