horizon,actual,prediction
1,0.05278389,0.05233923
1,0.16209772,0.17308603
1,-0.2507137,-0.24084349
1,0.13167508,0.13515323
1,0.24535571,0.2501667
1,0.16966882,0.17418638
1,0.14297806,0.1469316
1,0.19918382,0.20329018
1,0.079911426,0.08150271
1,0.048000008,0.048695926
1,0.21674252,0.22211759
1,0.003852742,-0.008414656
1,-0.16450182,-0.1537976
1,-0.029735899,-0.02594437
1,0.7767172,0.80614734
1,-0.16550799,-0.16331416
1,-0.052765116,-0.04969879
1,0.1006411,0.09885429
1,-0.2323898,-0.22497186
1,0.60302716,0.6094917
1,0.14426117,0.1427966
1,0.81913656,0.8385005
1,-0.14153752,-0.13825175
1,-0.093711846,-0.08775519
1,-0.06455888,-0.05573441
1,0.5772783,0.6031742
1,0.4032702,0.4231466
1,0.0655192,0.06352741
1,0.12685017,0.13847303
1,0.41403338,0.42179698
1,0.13748692,0.14215599
1,0.1397435,0.13902125
1,-0.2193529,-0.21158926
1,-0.34749517,-0.33674687
1,-0.067510776,-0.060780495
1,0.76302695,0.7906741
1,0.30145907,0.30960938
1,0.14957157,0.15183315
1,-0.17825378,-0.1715292
1,0.0644261,0.060121093
1,-0.0585711,-0.05215671
1,0.087939896,0.0880412
1,-0.000575603,0.0019509532
1,0.87017983,0.92005956
1,-0.14661628,-0.13799278
1,0.19435596,0.19943199
1,0.14259614,0.14603238
1,-0.08058867,-0.07355163
1,0.14652824,0.1491768
1,0.07899398,0.08528259
1,0.042574767,0.041569497
1,0.001660069,0.00235036
1,0.25567842,0.2538662
1,0.6080331,0.6262545
1,-0.0928381,-0.087026834
1,-0.27304608,-0.2674769
1,0.115030006,0.1170347
1,-0.08996504,-0.08281909
1,1.7273724,1.7874683
1,2.606504,2.6417117
1,0.14179946,0.14438878
1,-0.15996398,-0.15226775
1,0.17524688,0.18264978
1,-0.059129477,-0.04933048
1,0.025023608,0.02803115
1,-0.22337572,-0.21578538
1,-0.019789578,-0.016719244
1,0.04144359,0.04538893
1,0.06561623,0.06600964
1,0.04890675,0.04777236
1,0.08835585,0.08736338
1,-0.04223786,-0.037921958
1,-0.09954122,-0.09585276
1,0.3149566,0.32261446
1,0.000376909,0.0032351762
1,-0.023825942,-0.02191662
1,0.1616501,0.1650169
1,0.03798595,0.03998187
1,0.26208264,0.26906434
1,-0.103566065,-0.09953965
1,0.14416793,0.1494895
1,0.42198244,0.43450907
1,0.52443016,0.55043507
1,-0.08245102,-0.07218558
1,-0.06302113,-0.05844087
1,0.035841927,0.03619625
1,-0.005185283,-0.0011004601
1,0.13345616,0.13179865
1,-0.002737837,-0.004211027
1,0.09729042,0.09416931
1,-0.2312517,-0.22044873
1,1.250755,1.2893273
1,-0.03875818,-0.031315945
1,0.011549926,0.017447274
1,0.10574432,0.11202124
1,0.12018815,0.1210132
1,0.07077198,0.07062254
1,-0.018435838,-0.0151135735
1,0.014817018,0.01321413
1,-0.02986044,-0.025649982
1,-0.04483625,-0.041060038
1,-0.09769063,-0.09230281
1,0.010028382,-0.006646272
1,2.11509,2.1435761
1,0.013333748,0.01514069
1,-0.2288883,-0.21902883
1,0.1369171,0.14388412
1,0.063243985,0.068352506
1,0.18232495,0.18500644
1,0.08506903,0.08642244
1,0.06135522,0.062435456
1,-0.04273751,-0.035544448
1,-0.12630709,-0.120763056
1,0.4862139,0.48679
1,-0.08220907,-0.07748999
1,0.4980379,0.5036984
1,0.48915944,0.51241344
1,0.37193248,0.38151565
1,-0.12229896,-0.117415264
1,0.2539077,0.26509517
1,-0.28050628,-0.2623207
1,-0.04312555,-0.0424127
1,0.07474247,0.075229034
1,0.12970956,0.13125116
1,-0.23468688,-0.2238502
1,0.060506083,0.05968249
1,0.08616435,0.08698461
1,0.9289717,0.9559683
1,-0.089540765,-0.08496972
1,0.18990286,0.18967938
1,0.21417789,0.21602799
1,0.047781743,0.04766463
1,0.18282366,0.18935584
1,0.2284547,0.23972735
1,-0.16786222,-0.15893845
1,-0.4221374,-0.41023883
1,0.002942831,0.0062374035
1,0.004271301,0.0070434874
1,0.15591863,0.1598434
1,0.3087853,0.36184576
1,-0.10075446,-0.09412378
1,0.23268396,0.23725067
1,0.32198066,0.32933605
1,-0.032054547,-0.03001795
1,-0.07609282,-0.06922324
1,-0.16322707,-0.15267843
1,-0.043030307,-0.037428763
1,0.33112016,0.33769926
1,0.002159733,0.005439765
1,0.008547873,0.012631455
1,-0.21129793,-0.20461924
1,-0.027018525,-0.021730851
1,0.06069526,0.059526823
1,-0.070438206,-0.06776469
1,0.08359211,0.082312256
1,-0.22002836,-0.21377563
1,0.07268264,0.07477438
1,-0.030744696,-0.028857628
1,0.02140058,0.027662331
1,0.83006185,0.8449941
1,0.07636907,0.07693149
1,-0.094404556,-0.087518364
1,-0.08430154,-0.0787312
1,0.39664534,0.38881582
1,0.10030884,0.099485524
1,-0.103262395,-0.09975037
1,-0.076933034,-0.06985106
1,0.046061516,0.04474338
1,-0.35715437,-0.3443767
1,0.08513928,0.0870799
1,0.8828007,0.90437675
1,-0.08413546,-0.07755016
1,-0.09593628,-0.085137896
1,0.15499967,0.1568363
1,0.43609762,0.44617414
1,-0.08435652,-0.08016123
1,-0.08376842,-0.076897986
1,0.34670907,0.36245057
1,-0.068233445,-0.063774176
1,0.08462608,0.08121804
1,0.29564482,0.297286
1,0.60289645,0.6201258
1,0.61540514,0.6662952
1,-0.16244932,-0.15184225
1,0.3778839,0.3829742
1,0.15949512,0.1640335
1,-0.09080447,-0.08711215
1,0.0507485,0.042865183
1,-0.008633251,-0.0038323868
1,0.07336859,0.07374537
1,-0.029085731,-0.025500821
1,0.03986044,0.040235892
1,-0.048604067,-0.04285749
1,0.8785114,0.90418583
1,0.15815479,0.16157636
1,0.008395532,0.012905223
1,0.07948354,0.08341742
1,0.1004127,0.10400884
1,0.07207635,0.080142014
1,-0.22649615,-0.2170272
1,0.07423578,0.07498239
1,0.021227412,0.023787796
1,0.027052756,0.015241945
1,0.095589645,0.092979476
1,0.29796764,0.3038551
1,-0.025725067,-0.021507708
1,-0.03979728,-0.035466753
1,0.09696937,0.09726241
1,0.8185025,0.83098274
1,0.36593744,0.37474838
1,-0.13145505,-0.12665586
1,-0.09114344,-0.08617566
1,-0.21271148,-0.19624498
1,2.6139565,2.6462898
1,-0.032654297,-0.028325282
1,-0.030117918,-0.027241345
1,0.5600372,0.5680337
1,0.026280485,0.026130715
1,0.047460712,0.04825686
1,1.7390682,1.8012888
1,1.471461,1.5189171
1,0.19811384,0.20343922
1,-0.11690531,-0.11033924
1,0.7370474,0.7865024
1,-0.0653323,-0.06385635
1,-0.08997675,-0.08577126
1,-0.028364068,-0.03049691
1,0.25568706,0.26749432
1,0.5154776,0.5337945
1,-0.024390638,-0.020375252
1,0.076709494,0.07866986
1,-0.029539209,-0.023660073
1,0.16941328,0.16803499
1,-0.17976063,-0.17057991
1,-0.08870612,-0.08111525
1,-0.104708664,-0.10147607
1,-0.07548278,-0.07191931
1,-0.07871371,-0.07391036
1,-0.124757595,-0.11905142
1,0.024063421,0.022206033
1,0.004641257,0.0067843124
1,0.060496453,0.057430588
1,-0.052612405,-0.043967973
1,0.6405577,0.6617729
1,-0.07806974,-0.07071981
1,0.22018057,0.23362699
1,-0.122777194,-0.11747953
1,0.14756665,0.14855614
1,0.6624687,0.66611475
1,-0.0418788,-0.038398433
1,0.22373955,0.2203859
1,0.09730933,0.098036036
1,-0.000767754,0.0022043018
1,0.008631473,0.01322583
1,0.13638397,0.1374781
1,-0.090412565,-0.0840947
1,0.6386188,0.66808695
1,-0.034965552,-0.028303161
1,0.07974832,0.072922066
1,0.3874943,0.3836616
1,0.22822556,0.23395558
1,0.007921188,0.009904347
1,-0.02508091,-0.02022292
1,0.27683312,0.28984398
1,0.4490708,0.48631012
1,1.9403007,1.994577
1,0.03984825,0.043072287
1,-0.13169733,-0.13089964
1,0.19218802,0.19612193
1,-0.14547144,-0.13715991
1,0.05180106,0.053500008
1,-0.062361564,-0.05320493
1,0.50265545,0.5188183
1,-0.028088486,-0.023744425
1,0.2307106,0.23679794
1,-0.009010607,-0.0061510894
1,-0.029779661,-0.02591692
1,0.10059998,0.101452895
1,-0.24259546,-0.23150231
1,0.8545181,0.8734815
1,0.08435204,0.08650923
1,0.26519522,0.27362585
1,0.12936252,0.13082458
1,0.13001715,0.13116893
1,0.8143305,0.84317386
1,-0.19381693,-0.1846168
1,0.23988125,0.24271774
1,0.15219292,0.15418428
1,0.13035996,0.12918222
1,-0.08079928,-0.076153085
1,0.16113718,0.164177
1,0.2101846,0.20534611
1,0.040627066,0.04355995
1,0.24527255,0.24908772
1,-0.037948787,-0.03352586
1,-0.100434974,-0.097164154
1,-0.31806368,-0.3070659
1,-0.28198653,-0.2612641
1,0.22456054,0.22797196
1,0.21625777,0.2132125
1,0.3256884,0.33159575
1,0.19562754,0.19934025
1,0.26357433,0.26886243
1,1.6351452,1.6543974
1,-0.020888576,-0.017389867
1,1.3890693,1.3966415
1,0.08348156,0.083217695
1,1.4861832,1.5349318
1,0.17853947,0.18041252
1,-0.026964631,-0.021643687
1,0.32698447,0.33302167
1,-0.007019244,-0.0035907049
1,0.25029138,0.25738677
1,0.8232936,0.8231737
1,-0.16680762,-0.1703113
1,0.12128024,0.13097754
1,0.14474046,0.14764272
1,-0.16586047,-0.15812247
1,0.087822594,0.082879886
1,-0.029641736,-0.025857048
1,0.2558189,0.26509446
1,2.9380114,2.9906464
1,-0.12712333,-0.12076002
1,-0.3227757,-0.31225
1,0.09122103,0.09204215
1,0.07383874,0.06952375
1,-0.011783822,-0.0023329807
1,-0.03282907,-0.026456485
1,0.67604566,0.67585635
1,0.108997725,0.11434658
1,-0.112441495,-0.106077224
1,0.6618323,0.68606025
1,-0.19161887,-0.18361661
1,1.2044507,1.2307684
1,0.27218652,0.2846055
1,0.24277842,0.24531493
1,0.16744941,0.16884668
1,1.1316006,1.1509118
1,0.18202005,0.1888185
1,-0.04655704,-0.04315248
1,0.24886538,0.27923065
1,0.18466452,0.23989001
1,-0.022069346,-0.0185651
1,-0.061025493,-0.057687555
1,0.9117711,0.94703656
1,0.10089504,0.100420445
1,0.46839786,0.47543108
1,0.09414836,0.08467041
1,-0.00185424,0.0007634489
1,-0.055389468,-0.049052
1,0.110131994,0.13706368
1,-0.02615291,-0.020452939
1,0.17838776,0.18174078
1,0.30772266,0.31822538
1,-0.003318348,-0.0004398385
1,0.001001992,0.0038088644
1,0.030018995,0.029951707
1,0.43180403,0.4477385
1,-0.045266133,-0.040422175
1,0.3394769,0.3583069
1,0.028912393,0.03027175
1,0.09130929,0.092950374
1,-0.013385683,-0.007482254
1,-0.007205861,-0.0035039764
1,0.24193612,0.24556571
1,-0.043175966,-0.038388178
1,0.20727637,0.21521698
1,1.3402755,1.3725348
1,-0.07350718,-0.06915683
1,0.16731393,0.17411394
1,0.28555313,0.29273576
1,0.06878748,0.064291395
1,0.3768515,0.38918266
1,-0.036443517,-0.03262709
1,0.045780707,0.047575068
1,0.14106199,0.14498204
1,-0.10730478,-0.100008085
1,-0.24594629,-0.23514584
1,0.007684532,0.010209084
1,0.44576767,0.45710024
1,0.037122983,0.036158077
1,0.75976527,0.7865594
1,0.20959282,0.21310602
1,0.19801514,0.20703398
1,-0.15445589,-0.14565465
1,0.11702581,0.119583555
1,-0.24707982,-0.23328182
1,0.2710864,0.27767923
1,-0.16490676,-0.15542538
1,0.4854085,0.47698107
1,0.22254431,0.22833022
1,0.22203904,0.2280855
1,-0.16414079,-0.15737543
1,0.28646573,0.2926502
1,-0.032516003,-0.028946491
1,0.12004708,0.118431464
1,0.15442644,0.15721267
1,0.40873206,0.42300597
1,0.79895425,0.8272986
1,-0.01814957,-0.015327817
1,-0.048012335,-0.043845475
1,0.34276035,0.3495392
1,0.21028136,0.23461807
1,0.20546469,0.2093145
1,-0.066468865,-0.064879656
1,-0.07023325,-0.065616004
1,-0.27014256,-0.2512073
1,-0.08814554,-0.08764472
1,-0.04995558,-0.044554748
1,-0.058914118,-0.052687615
1,0.17727992,0.179723
1,3.6940045,3.7931058
1,0.2264854,0.22909965
1,0.23437402,0.24171801
1,-0.02617165,-0.021974914
1,0.11568403,0.11865112
1,-0.07762224,-0.075097755
1,-0.023265224,-0.020885868
1,-0.07710705,-0.07288777
1,0.26613557,0.2743796
1,0.78902406,0.81722236
1,0.108336784,0.1114569
1,-0.05583148,-0.055817664
1,0.10200369,0.11461913
1,-0.23097244,-0.2232268
1,-0.013717915,-0.011147337
1,-0.054130647,-0.0611673
1,0.1435817,0.1458389
1,0.38964716,0.41046318
1,0.104244605,0.104402326
1,0.10005171,0.11238363
1,0.85723305,0.88598555
1,0.07575606,0.082704894
1,0.32382792,0.32601315
1,0.3667054,0.373624
1,0.29162148,0.29986694
1,-0.113138445,-0.10619143
1,0.37287566,0.38561085
1,0.9519314,0.97368157
1,0.5743131,0.601777
1,-0.13861753,-0.13110507
1,0.2562299,0.26829168
1,0.06128014,0.063564494
1,0.23417874,0.23993762
1,0.040119752,0.041764494
1,0.10703763,0.10952315
1,0.90249807,0.9291717
1,0.04748203,0.048504427
1,-0.014915644,-0.011689907
1,0.06880286,0.06928031
1,0.44691584,0.46373045
1,0.024657017,0.018363064
1,-0.1177744,-0.110897146
1,3.150337,3.2037165
1,-0.057970718,-0.048826262
1,-0.23183706,-0.22253743
1,0.10228056,0.10375916
1,0.34395912,0.35705042
1,0.035206273,0.04006645
1,0.19764233,0.20591064
1,-0.027254295,-0.023450097
1,1.0982735,1.1259692
1,0.037841912,0.041141707
1,0.04715076,0.044357434
1,-0.023986898,-0.027499842
1,0.34283656,0.35264477
1,0.7270155,0.7535135
1,1.1407474,1.1628551
1,0.12361818,0.1270799
1,-0.07216715,-0.065766804
1,-0.2818391,-0.27295202
1,0.16852672,0.17429458
1,0.050534215,0.05225873
1,0.004486162,0.0070924116
1,-0.15744452,-0.15309139
1,0.10118997,0.102665864
1,-0.082360424,-0.07650189
1,0.12986046,0.12469737
1,-0.20546699,-0.19746062
1,0.09703701,0.09437564
1,-0.3491284,-0.33782426
1,0.37348408,0.38626075
1,0.040547322,0.039499
1,-0.13777328,-0.13071235
1,0.3776099,0.39694217
1,-0.032092776,-0.029846244
1,0.20365775,0.20937632
1,0.19478035,0.20291999
1,0.35284036,0.37336752
1,0.33076915,0.33827385
1,0.11648897,0.120698065
1,0.31920287,0.33033437
1,-0.12283106,-0.115887046
1,-0.09430681,-0.08901204
1,-0.08808317,-0.08040882
1,0.17619984,0.1772654
1,-0.16820125,-0.1599905
1,-0.023545519,-0.019293718
1,-0.0713822,-0.06574839
1,0.18080851,0.18374652
1,-0.08185491,-0.07645619
1,0.47854942,0.49781203
1,0.13029778,0.13304418
1,0.34163293,0.3569212
1,0.20284931,0.20865387
1,-0.006871772,-0.01083367
1,0.105820425,0.102711506
1,0.049160615,0.050554678
1,-0.34886226,-0.333558
1,0.002410535,0.0052167084
1,0.04815903,0.049299642
1,0.14048444,0.14140856
1,0.3360917,0.34655976
1,0.15775235,0.16014259
1,0.08040891,0.081526116
1,0.20439841,0.20916569
1,-0.35349172,-0.3375227
1,-0.14353512,-0.13797145
1,0.17560309,0.18134306
1,0.2303833,0.23797281
1,-0.04725589,-0.04214344
1,-0.08549304,-0.07721835
1,-0.06493852,-0.059364043
1,0.023676077,0.023725448
1,1.8385265,1.8718907
1,-0.16571663,-0.1567411
1,0.60175467,0.60472286
1,-0.097204246,-0.090710506
1,0.49288353,0.5230512
1,0.041769356,0.04619026
1,0.28436294,0.2943877
1,0.24254782,0.24972293
1,0.1813767,0.1849981
1,0.09188501,0.08855003
1,2.7811122,2.8409026
1,0.041316696,0.041381415
1,-0.032471977,-0.030770514
1,-0.044035777,-0.040664874
1,0.022597523,0.022599764
1,-0.13144293,-0.12320253
1,1.3308002,1.3524479
1,-0.025752373,-0.025618114
1,-0.057819344,-0.052224122
1,2.485355,2.5247457
1,1.5288043,1.5327933
1,-0.050671145,0.03330472
1,-0.18913242,-0.17998978
1,0.12994929,0.13056922
1,0.7528873,0.7817953
1,-0.3892272,-0.37284845
1,-0.122063614,-0.11606965
1,-0.11584941,-0.10917738
1,-0.013882037,-0.012033274
1,0.57946885,0.63609344
1,0.8166114,0.8654835
1,-0.009237857,-0.0064658467
1,0.009561701,0.0123030245
1,-0.007808435,-0.004574936
1,-0.062361855,-0.056449663
1,-0.015824715,-0.01283707
1,-0.05496192,-0.05561387
1,0.011371132,0.016939115
1,0.08080816,0.0820634
1,0.1294723,0.13536227
1,0.032523017,0.03385244
1,0.41462222,0.42683858
1,0.76496047,0.7742022
1,-0.001251797,0.0012000464
1,0.07389954,0.07883651
1,0.17276551,0.17529881
1,2.5197506,2.5756667
1,0.1744034,0.1783165
1,-0.12629554,-0.1227876
1,0.009177718,0.016268732
1,0.013266209,0.013827212
1,0.04438973,0.040866025
1,-0.3518273,-0.3320421
1,0.19150908,0.19544497
1,0.7316512,0.7368752
1,-0.23371167,-0.22288972
1,1.0820295,1.1340485
1,-0.2955121,-0.28544307
1,-0.048256584,-0.041834883
1,0.12456593,0.1270666
1,-0.11373558,-0.110974856
1,0.039549887,0.038537804
1,-0.06187343,-0.05797589
1,0.2818297,0.28368193
1,0.043660536,0.045589652
1,0.21882932,0.22121018
1,0.5609275,0.58698654
1,0.97599185,0.9957473
1,-0.11636974,-0.1114857
1,-0.45913866,-0.44843903
1,1.4834161,1.5393738
1,-0.058099832,-0.052354082
1,1.6951799,1.7328632
1,0.18021815,0.18329437
1,0.6261441,0.65065265
1,-0.18555075,-0.17201124
1,0.3062424,0.31997624
1,0.022058997,0.027430896
1,0.04370049,0.0452447
1,0.010915541,0.0111601725
1,-0.053186268,-0.04694549
1,0.13498056,0.1422017
1,0.13556556,0.1389459
1,0.65881896,0.68442
1,-0.06110093,-0.05034341
1,-0.07215942,-0.06603633
1,0.04935892,0.050476234
1,0.0872822,0.09169119
1,0.23067643,0.2332025
1,-0.3578509,-0.34224525
1,-0.11959583,-0.1133274
1,0.14199783,0.14433385
1,-0.001908521,0.0013523875
1,0.42645916,0.43056926
1,0.25490543,0.26385826
1,2.1436973,2.1844459
1,0.2772971,0.28631184
1,0.036349364,0.038469717
1,-0.001052758,0.008868242
1,-0.047178283,-0.044675045
1,0.36896363,0.37948376
1,-0.03392895,-0.029512485
1,0.024842756,0.02593935
1,0.073557906,0.073210426
1,0.60610133,0.6127228
1,0.07963071,0.07550048
1,-0.06421434,-0.057671864
1,0.3283241,0.33968276
1,-0.16432926,-0.15881224
1,-0.06384304,-0.06330122
1,-0.3383987,-0.3199755
1,0.42940277,0.43148413
1,-0.053280476,-0.04652828
1,-0.20099722,-0.20152089
1,0.13502648,0.14238852
1,-0.17180923,-0.16094844
1,-0.0444003,-0.039410017
1,-0.004614379,0.0017601065
1,-0.22278938,-0.2120666
1,-0.093784496,-0.088480264
1,0.0408623,0.038631912
1,0.29153198,0.30011716
1,0.37406707,0.38569966
1,0.08458719,0.08702853
1,0.1808451,0.187724
1,0.000326586,0.000107588945
1,0.008538423,0.0137057705
1,-0.051673185,-0.04491988
1,0.43473798,0.4599399
1,0.41640475,0.4243368
1,0.54789895,0.5791722
1,0.22557361,0.23154788
1,0.14494291,0.15106764
1,-0.001345509,0.018223137
1,0.2549724,0.2700416
1,0.14783794,0.15177836
1,-0.0968631,-0.09059211
1,0.57200295,0.5951378
1,0.01159794,0.012468995
1,-0.0889151,-0.08176481
1,-0.000651562,0.0051083006
1,0.106201485,0.11223744
1,0.10251626,0.09886852
1,-0.051727444,-0.046592325
1,-0.08980948,-0.08669495
1,-0.061729673,-0.053468745
1,0.14609371,0.15033683
1,0.020434799,0.021925252
1,0.02385251,0.02526581
1,0.029118344,0.029764159
1,0.028765026,0.03024702
1,0.18149343,0.1845709
1,-0.031928785,-0.02950897
1,-0.09338488,-0.08682402
1,0.593773,0.6141535
1,-0.21794006,-0.21013407
1,-0.09416773,-0.08841622
1,0.033733796,0.034610268
1,0.5440863,0.557004
1,-0.017180936,-0.014131199
1,0.073304005,0.073662356
1,-0.09068627,-0.0855822
1,0.122828625,0.12439267
1,0.44102207,0.4517125
1,0.1875109,0.18853503
1,0.073415145,0.073780455
1,-0.13252033,-0.12545757
1,-0.059619877,-0.05181075
1,0.05270348,0.056030765
1,-0.06798641,-0.058695342
1,0.060613807,0.06512964
1,-0.03145315,-0.025781862
1,-0.10336182,-0.106262416
1,-0.06782211,-0.058188338
1,0.03530677,0.033968963
1,0.000315406,0.0030902904
1,-0.18014681,-0.17201944
1,0.5692967,0.58936995
1,0.24029164,0.2430699
1,-0.24685927,-0.2377103
1,1.0941291,1.1354951
1,2.4177697,2.4691088
1,0.512594,0.5006862
1,-0.08693214,-0.084847175
1,-0.018986212,-0.009740465
1,0.22985663,0.23734905
1,0.17186855,0.17561552
1,-0.26074338,-0.25610676
1,-0.024962451,-0.020450242
1,0.15881447,0.16330536
1,0.054630835,0.058413662
1,-0.08889972,-0.08201611
1,-0.054290462,-0.052149758
1,0.04686839,0.04562707
1,-0.0802759,-0.074494295
1,0.102233194,0.10183326
1,0.08504725,0.085955925
1,0.010510316,0.013969767
1,-0.3156317,-0.30250192
1,0.045264937,0.04365044
1,2.1650152,2.2230542
1,0.106644996,0.10933334
1,-0.01372879,-0.011373438
1,0.16844127,0.17095023
1,-0.090533495,-0.08209619
1,0.022985885,0.023421338
1,0.06438367,0.066128105
1,-0.1755215,-0.16590321
1,-0.16645351,-0.15919755
1,-0.15197375,-0.1401975
1,0.6248936,0.6481886
1,-0.025763376,-0.024428505
1,0.49123594,0.5112055
1,1.6733841,1.7001771
1,1.3229027,1.3578959
1,0.12022917,0.1226951
1,1.098635,1.1293709
1,1.3386662,1.3774184
1,0.5656368,0.56760174
1,0.049849793,0.05735323
1,-0.10446364,-0.098236345
1,-0.028521681,-0.024749035
1,-0.14908008,-0.14078696
1,-0.08373971,-0.081470445
1,-0.04936493,-0.04720576
1,-0.000972496,0.00044942088
1,0.003955737,0.0042939
1,0.24292144,0.24974272
1,-0.16963391,-0.16133823
1,-0.10056882,-0.09292236
1,-0.16872267,-0.16023369
1,-0.18317357,-0.1741727
1,0.864129,0.9080315
1,-0.046728242,-0.041195996
1,0.037417173,0.034107976
1,0.5137238,0.5440777
1,0.14412187,0.14914837
1,0.0474084,0.04881706
1,0.1517181,0.15576719
1,0.17893626,0.18224087
1,-0.006618152,-0.0026925933
