step,actual,forecast,absolute_error
30,0.142711149,0.14283268,0.00012153253667449015
31,0.143195794,0.1433921,0.00019630693021394086
32,0.143661666,0.14383489,0.0001732229350891179
33,0.144109202,0.14433639,0.0002271855150680624
34,0.144538835,0.14464307,0.00010423331359862842
35,0.144951007,0.14493822,1.279138663481949e-05
36,0.145346162,0.14505585,0.00029031662017059423
37,0.145724749,0.14504895,0.0006758028578033315
38,0.146087222,0.14486852,0.001218699117538441
39,0.146434041,0.14475174,0.0016822985178146233
40,0.146765673,0.14420067,0.0025650052610855234
41,0.14708259,0.14371532,0.0033672679823303353
42,0.147385269,0.14333206,0.004053204848236097
43,0.147674196,0.14304411,0.004630081887146004
44,0.147949861,0.14278716,0.005162702510772693
45,0.148212765,0.14244644,0.005766321561470028
46,0.148463416,0.14228784,0.006175580521217333
47,0.148702344,0.14212443,0.006577914654869066
48,0.14893009,0.14217421,0.006755875875320422
49,0.149147229,0.14203002,0.007117213412193291
50,0.149354365,0.14196615,0.007388215789070118
51,0.149552133,0.14208557,0.007466565883262638
52,0.149741214,0.14210011,0.00764110334993745
53,0.149922321,0.14243938,0.007482940711875913
54,0.150096219,0.14298631,0.007109906491416934
55,0.150263705,0.14351706,0.006746642932014463
56,0.150425635,0.14440645,0.006019182224998476
57,0.150582896,0.14567903,0.004903869157882684
58,0.150736434,0.14692399,0.003812444942459109
59,0.150887228,0.14822158,0.0026656458256988647
60,0.15103631,0.14947388,0.0015624342389679025
61,0.151184744,0.15120427,1.9529104667653785e-05
62,0.151333631,0.15326664,0.0019330075173797645
63,0.1514841,0.15533768,0.003853576405906667
64,0.151637302,0.15741862,0.005781321566627501
65,0.151794403,0.15977412,0.007979721622344976
66,0.151956584,0.16238981,0.010433230853668207
67,0.152125039,0.1652211,0.013096056085144053
68,0.152300974,0.1682611,0.01596012188146209
69,0.152485606,0.17148162,0.01899601824564362
70,0.152680164,0.17485358,0.022173414209877007
71,0.152885892,0.17834947,0.025463573131759648
72,0.153104048,0.181985,0.02888095773635102
73,0.153335902,0.18566248,0.032326576208541874
74,0.153582744,0.18931311,0.035730369689422614
75,0.153845886,0.19297555,0.039129664889968885
76,0.154126666,0.19666083,0.04253416557062531
77,0.154426437,0.2003623,0.04593585791233826
78,0.154746573,0.20393735,0.0491907787036438
79,0.155088392,0.20729238,0.052203985948760995
80,0.155453175,0.21035963,0.05490645796890259
81,0.155842017,0.21316782,0.057325799400527955
82,0.156255837,0.21577582,0.05951998063267516
83,0.156695315,0.21825093,0.06155561530929565
84,0.157160882,0.22056946,0.06340857958409118
85,0.157652737,0.22277743,0.06512468924282838
86,0.158170838,0.22499159,0.06682075178462218
87,0.158714924,0.2272673,0.0685523711221466
88,0.15928449,0.22961323,0.07032873963237762
89,0.159878798,0.23202556,0.07214676571688844
90,0.160496799,0.2344392,0.0739423952024231
91,0.161137185,0.23693973,0.0758025432600403
92,0.161798274,0.23960717,0.07780889622418977
93,0.162478133,0.24252772,0.08004959031237793
94,0.163174508,0.24563618,0.08246167204322052
95,0.163884971,0.24901894,0.08513396634931947
96,0.164606943,0.25284874,0.08824180139239501
97,0.165337775,0.25718218,0.09184440588150025
98,0.1660748,0.2620254,0.095950586095047
99,0.166815333,0.2672136,0.10039827979487609
100,0.167556682,0.27279764,0.10524096213833617
101,0.168296141,0.27880323,0.1105070883319702
102,0.16903098,0.2852544,0.11622340904762268
103,0.169758445,0.29214776,0.12238931062286376
104,0.170475752,0.2994633,0.12898754989704894
105,0.171180081,0.30715632,0.13597624338659667
106,0.171868552,0.31522113,0.1433525788479309
107,0.172538221,0.3235556,0.151017367722229
