time,value
0,0.4967141530112327
1,0.8551640048512807
2,1.7122881488886514
3,4.029611467553044
4,5.874493372817191
5,6.861527737135912
6,9.061423520581654
7,11.842549142798799
8,13.55009311116172
9,15.147091616821244
10,15.964340891046238
11,15.931660321589737
12,16.011027268465146
13,14.225892568089943
14,10.67739637191693
15,7.113686155600937
16,3.4375716250730273
17,0.8746894501984372
18,-1.7330779479564047
19,-5.243226050656449
20,-6.658372064025513
21,-7.435055943193928
22,-7.978939344069855
23,-9.764147449490084
24,-11.985600303673463
25,-13.593009529249517
26,-15.835912787662098
27,-17.375545123431923
28,-18.941217042885903
29,-20.509072743272608
30,-22.29578647071068
31,-21.87471987907721
32,-21.037787034319038
33,-21.513694139365597
34,-21.34159747948177
35,-22.195209993903156
36,-22.950128253984676
37,-25.37558208142009
38,-28.989486846687242
39,-31.720814761174655
40,-32.8352193505597
41,-33.22239430794063
42,-33.55765457613854
43,-34.12813494418283
44,-36.09632430085805
45,-38.63745765603564
46,-41.092843038138156
47,-41.892682210678934
48,-41.79181467402334
49,-43.381162066856625
50,-44.69853331905395
51,-45.90855028518995
52,-47.54800884591601
53,-48.28703014967517
54,-47.58984265315837
55,-45.861231429731625
56,-45.211037060820686
57,-45.31687863540103
58,-45.15246801895908
59,-43.96245643090628
60,-43.3159590189779
61,-43.19282207864544
62,-44.26865888741789
63,-46.54985176984109
64,-47.69302295236733
65,-46.89324500484661
66,-45.9985385545912
67,-44.39031417799448
68,-42.60186121996154
69,-41.886573096429316
70,-41.218011730829886
71,-39.10356352679179
72,-37.19786485313528
73,-34.3099799374947
74,-34.43881250389184
75,-34.49301632722154
76,-34.19734118400159
77,-34.26326181374204
78,-34.307347683164615
79,-36.29824847340066
80,-38.50782158878367
81,-39.76331176439128
82,-39.05712707112157
83,-38.63769979068397
84,-39.30807536275292
85,-40.52164338765369
86,-40.60626600045751
87,-40.062130084449876
88,-40.11236981411367
89,-39.79319825289508
90,-39.31872038076002
91,-37.98881761492817
92,-37.46934527556337
93,-37.64399271276898
94,-38.25665271592439
95,-40.26666211220495
96,-41.8166028969764
97,-42.55167009101715
98,-42.98278708854925
99,-43.51762208320413
